id;ten_hui;ngay_tao;loai_hui;day_hui;tham_keu;so_phan
38001;D127 hụi tuần 2triệu/15phần thứ5;2025-05-01;TUAN;2000000;;15
38002;D128 hụi tuần 1triệu/15phần thứ5;2025-05-01;TUAN;1000000;;15
38102;D130 hụi ngày 500k/40phần;2025-05-04;NGAY;500000;;40
23702;Hụi tháng 10triệu/12phần 25tây;2024-09-25;THANG;10000000;;12
38104;D132 hụi ngày 500k/40phần;2025-05-04;NGAY;500000;;40
38105;D133 hụi tuần 5triệu/12phần;2025-05-04;TUAN;5000000;;12
34852;D82 Hụi tháng 5triệu/12phần 16tây;2025-03-16;THANG;5000000;;12
38106;D134 hụi tuần 5triệu/12phần chủ nhật;2025-05-04;TUAN;5000000;;12
38554;D137 hụi 10ngày 5triệu/12phần 8-18-28;2025-05-08;MUOI_NGAY;5000000;;12
39202;D141 hụi tháng 5triệu/12phần 16tây;2025-05-16;THANG;5000000;;12
34952;D84 Hụi tuần 1triệu/16phần thứ3;2025-03-18;TUAN;1000000;;16
39302;D142 hụi tháng 3triệu/12phần 17tây;2025-05-17;THANG;3000000;;12
39305;D145 hụi tuần 3triệu/12phần thứ7;2025-05-17;TUAN;3000000;;12
39306;D146 hụi ngày 1triệu/35phần ;2025-05-17;NGAY;1000000;;35
35402;D91 Hụi tuần 5triệu/12phần thứ6;2025-03-21;TUAN;5000000;;12
39307;D147 hụi ngày 1triệu/35phần;2025-05-17;NGAY;1000000;;35
30402;D33 Hụi tháng 2triệu/15phần 14tây;2025-01-14;THANG;2000000;;15
35403;D90 Hụi tuần 5triệu/12phần thứ6;2025-03-21;TUAN;5000000;;12
39652;D150 hụi tuần 1triệu/16phần chủ nhật;2025-05-18;TUAN;1000000;;16
26354;Hụi 2tuần 5triệu/15phần 10&26tây;2024-11-10;NUA_THANG;5000000;;15
35502;D92 hụi tháng 5triệu/12phần 22tây;2025-03-22;THANG;5000000;;12
39653;D151 hụi tuần 1triệu/16phần chủ nhật;2025-05-18;TUAN;1000000;;16
39654;D152 hụi tuần 1triệu/16phần chủ nhật;2025-05-18;TUAN;1000000;;16
31102;D42 Hụi tuần 1triệu/16phần chủ nhật 7️⃣;2025-01-26;TUAN;1000000;;16
35602;D93 Hụi tháng 3triệu/12phần 26tây;2025-03-26;THANG;3000000;;12
18719;Hụi tháng 3triệu/13phần (17tây);2024-05-17;THANG;3000000;;13
36102;D100 Hụi tuần 2triệu/15phần thứ3;2025-04-01;TUAN;2000000;;15
36302;D103 hụi ngày 1triệu/35phần;2025-04-12;NGAY;1000000;;35
31752;D49 hụi tháng 3triệu/16phần 1tây;2025-02-01;THANG;3000000;;16
36303;D104 hụi ngày 1triệu/35phần;2025-04-12;NGAY;1000000;;35
36602;D107 hụi tuần 1triệu/18phần chủ nhật;2025-04-13;TUAN;1000000;;18
33354;D66 Hụi tháng 10triệu/12 20tây(thăm);2025-02-20;THANG;10000000;;12
37052;D112 hụi tuần 1triệu/15phần thứ5;2025-04-17;TUAN;1000000;;15
33705;D70 Hụi tháng 3triệu/12phần 2tây;2025-03-02;THANG;3000000;;12
37055;D113 hụi tuần 1triệu/15phần thứ5;2025-04-17;TUAN;1000000;;15
37202;D109 Hụi tuần 5triệu/13phần thứ2;2025-04-14;TUAN;5000000;;13
37205;D117 hụi ngày 300k/45phần ;2025-04-21;NGAY;300000;;45
37502;D119 hụi tuần 1triệu/16phần thứ3 ;2025-04-29;TUAN;1000000;;16
37504;D121 hụi tuần 1triệu/16phần thứ3;2025-04-29;TUAN;1000000;;16
20101;Hụi tháng 3triệu/12phần 16tây;2024-06-16;THANG;3000000;;12
20109;Hụi tháng 5triệu/12phần 25tây ;2024-06-25;THANG;5000000;;12
20413;Hụi 3triệu/13phần 15tây;2024-07-15;THANG;3000000;;13
20416;Hụi tháng 10triệu/13phần 18tây;2024-07-18;THANG;10000000;;13
21501;Hụi tháng 3triệu/12phần 19tây;2024-08-19;THANG;3000000;;12
22251;Hụi tháng 5triệu/12phần 24tây 1️⃣;2024-08-24;THANG;5000000;;12
22252;Hụi tháng 5triệu/12phần 24tây 2️⃣;2024-08-24;THANG;5000000;;12
22852;Hụi tháng 5triệu/12phần 9tây 1️⃣;2024-09-09;THANG;5000000;;12
22853;Hụi tháng 5triệu/12phần 9tây 2️⃣;2024-09-09;THANG;5000000;;12
